"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","POST /store/order with wrong-typed fields is rejected or sanitized","api","2026-06-18","passed","2026-06-18","","","",""
"","14","GET /pet/findByStatus with an unknown status returns 400 or 200 with empty array","api","2026-06-18","passed","2026-06-18","","","",""
"","353","DELETE /pet/{petId} removes a pet","api","2026-06-18","passed","2026-06-18","","","",""
"","10","POST /user with malformed JSON returns 400/415/500","api","2026-06-18","passed","2026-06-18","","","",""
"","11","PUT /user/{username} on a non-existent username behaves per documented contract","api","2026-06-18","passed","2026-06-18","","","",""
"","34","GET /store/inventory returns a status->count map","api","2026-06-18","passed","2026-06-18","","","",""
"","15","GET /store/order/abc (non-integer id) is rejected","api","2026-06-18","passed","2026-06-18","","","",""
"","12","GET /pet/{petId} returns 404 for a non-existent id","api","2026-06-18","passed","2026-06-18","","","",""
"","44","POST /user/createWithArray creates multiple users and each is retrievable","api","2026-06-18","passed","2026-06-18","","","",""
"","10","POST /user with text/plain Content-Type is rejected","api","2026-06-18","passed","2026-06-18","","","",""
"","31","POST /user/createWithList creates multiple users and each is retrievable","api","2026-06-18","passed","2026-06-18","","","",""
"","11","GET /user/login with no query params is rejected","api","2026-06-18","passed","2026-06-18","","","",""
"","12","POST /pet with malformed JSON returns 400/415/500","api","2026-06-18","passed","2026-06-18","","","",""
"","11","DELETE /user/{username} returns 404 for a non-existent user","api","2026-06-18","passed","2026-06-18","","","",""
"","11","POST /user creates a single user","api","2026-06-18","passed","2026-06-18","","","",""
"","24","GET /user/{username} returns a previously created user","api","2026-06-18","passed","2026-06-18","","","",""
"","29","GET /pet/{petId} returns a previously created pet","api","2026-06-18","passed","2026-06-18","","","",""
"","42","GET /user/logout is idempotent and returns 200","api","2026-06-18","passed","2026-06-18","","","",""
"","21","DELETE /pet/{petId} behavior when the api_key header is omitted","api","2026-06-18","passed","2026-06-18","","","",""
"","35","PUT /pet updates an existing pet","api","2026-06-18","passed","2026-06-18","","","",""
"","10","PUT /pet with a body missing required fields is rejected","api","2026-06-18","passed","2026-06-18","","","",""
